-2,Negative2
-1,Negative1
0.5,0Point5
0,0
1,1
1.0,1Point0
1.1,1Point1
1.5,1Point5
2,2
2.5,2Point5
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
20,20
22,22
25,25
30,30
35,35
40,40
50,50
60,60
70,70
75,75
80,80
90,90
99,99
100,100
120,120
123,123
125,125
150,150
180,180
200,200
250,250
300,300
365,365
404,404
443,443
500,500
512,512
600,600
1000,1000
1001,1001
1024,1024
1200,1200
1234,1234
2000,2000
3600,3600
4000,4000
4096,4096
5000,5000
8080,8080
9999,9999
10000,10000
20000,20000
30000,30000
123456789012,12Digit
FALSE,FalseCaps
TRUE,TrueCaps
basic,Basic
certificate_pem,CertificatePEM
disappears,Disappears
false,False
key1,Key1
key2,Key2
name,Name
overlapkey1,OverlapKey1
overlapkey2,OverlapKey2
private_key_pem,PrivateKeyPEM
provider_tags,ProviderTags
providerkey1,ProviderKey1
providervalue1,ProviderValue1
providervalue1updated,ProviderValue1Updated
providervalue1again,ProviderValue1Again
rName,RName
resource_owner,ResourceOwner
resource_tags,ResourceTags
resourcekey1,ResourceKey1
resourcekey2,ResourceKey2
resourcevalue1,ResourceValue1
resourcevalue1updated,ResourceValue1Updated
resourcevalue1again,ResourceValue1Again
resourcevalue2,ResourceValue2
resourcevalue2updated,ResourceValue2Updated
rule.#,RulePound
tags.%,TagsPercent
tags.key1,TagsKey1
tags.key2,TagsKey2
tags_all.%,TagsAllPercent
true,True
value1,Value1
value1updated,Value1Updated
value2,Value2
